id,recipient_primary_major,recipient_secondary_majors,recipient_graduation_date,recipient_education_level,recipient_primary_college,recipient_gender,recipient_ethnicity,recipient_graduation_group_name,response_graduation_date,response_status,outcome,employer_name,employer_industry,employment_category,employment_type,job_function,job_position,employed_during_education,continuing_education_school,continuing_education_level,continuing_education_major,still_looking_option,not_seeking_option,annual_salary,pay_schedule,bonus_amount,other_compensation,job_alignment,el_participation,el_helpfulness,el_most_helpful,job_alignment_num,el_helpfulness_num,el_helpfulness_binary,el_count,el_participation_binary
4362001,tDPT Masters~Rehabilitation Administration,tDPT Masters,5/1/2028,Doctorate,College of Health,Male,Asian/Asian American,22-Aug,9/1/2022,submitted,Working,Professional Physical Therapy,Healthcare,Organization,Full-Time,Healthcare Services,Orthopedic Physical Therapist,Yes,NA,NA,NA,NA,NA,80000,Annual Salary,NA,NA,This position meets my expectations,"Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Yes,"Learning community or other formal program in which one group of students takes two or more classes together, Study abroad or study away program, Community-based project (service learning or volunteerism), Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",3,4,1,1,1
4362003,tDPT Masters~Rehabilitation Administration,tDPT Masters,5/1/2028,Doctorate,College of Health,Female,Black or African American,22-Aug,5/1/2022,submitted,Working,ATI Physical Therapy,Healthcare,Organization,Full-Time,Healthcare Services,Physical Therapist,Yes,NA,NA,NA,NA,NA,90000,Annual Salary,5000,NA,This position meets my expectations,"Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Neutral,"Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",3,2,0,1,1
4362012,tDPT Bachelors,NA,5/1/2028,Doctorate,College of Health,Female,Asian/Asian American,22-Aug,8/1/2022,submitted,Working,"Shearwater Health, Inc.",Healthcare,Organization,Full-Time,Healthcare Services,Therapy Reviewer,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,This position fails to meet my expectations,Learning community or other formal program in which one group of students takes two or more classes together,Yes,"Study abroad or study away program, Work with a faculty member on a research project",1,4,1,1,1
4362042,Speech Language Pathology Asst,NA,5/1/2026,Certificate,College of Health,Female,White/Caucasian,22-Aug,7/1/2022,submitted,Still Looking,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Employment,NA,NA,NA,NA,NA,This position exceeds my expectations,None of the above,NA,NA,3,NA,NA,0,0
4362048,Speech Language Pathology Asst,"Speech Lang Path/Aud Asst, Speech Lang Path Asst",5/13/2022,Certificate,College of Health,Female,White/Caucasian,22-Aug,8/1/2022,submitted,Still Looking,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Employment,NA,NA,NA,NA,NA,No opinion,None of the above,NA,NA,2,NA,NA,0,0
4362054,tDPT Masters,NA,5/1/2028,Doctorate,College of Health,Female,Latino(a),22-Aug,8/1/2022,submitted,Working,HCA Healthcare,Healthcare,Organization,Full-Time,Healthcare Services,Physical Therapist,Yes,NA,NA,NA,NA,NA,NA,Hourly Wage,NA,NA,No opinion,None of the above,NA,NA,2,NA,NA,0,0
4493015,Geography~Geographic Information Systems,Geography,12/12/2022,Bachelors,College of Forestry & Conserv,Female,White/Caucasian,22-Dec,12/1/2022,submitted,Working,University of Montana,Higher Education,Temporary/Contract Work Assignment,Full-Time,Data & Analytics,GIS Mapping Technician,Yes,NA,NA,NA,NA,NA,31200,Hourly Wage,0,0,This position meets my expectations,"Internship, field experience, student teaching or clinical placement",Yes,"Internship, field experience, student teaching, practicum or clinical placement",3,4,1,3,1
4493025,Accounting,NA,5/12/2023,Bachelors,College of Business,Male,White/Caucasian,22-Dec,12/1/2022,submitted,Working,University of Montana Undergraduate Admissions,Higher Education,Organization,Full-Time,Administration,Administrative associate,Yes,NA,NA,NA,NA,NA,35360,Hourly Wage,0,0,This position exceeds my expectations,"Internship, field experience, student teaching or clinical placement",Somewhat,"Internship, field experience, student teaching, practicum or clinical placement",3,3,1,3,1
4493029,Organismal Biology & Ecology,NA,5/1/2028,Doctorate,College Humanities & Sciences,Male,White/Caucasian,22-Dec,12/1/2022,submitted,Working,University of Lausanne,Research,Fellowship,Full-Time,Research,Postdoctoral researcher,NA,NA,NA,NA,NA,NA,87806.2,Monthly Stipend,NA,NA,This position meets my expectations,None of the above,NA,NA,3,NA,NA,0,0
4493031,Fish and Wildlife Biology,NA,5/13/2017,Doctorate,College of Forestry & Conserv,Female,NA,22-Dec,12/1/2022,submitted,Working,Oklahoma State University,Higher Education,Faculty Non-Tenure,Full-Time,Research,Assistant Professor,NA,NA,NA,NA,NA,NA,90545,Annual Salary,NA,NA,This position exceeds my expectations,None of the above,NA,NA,3,NA,NA,0,0
4493036,Fish and Wildlife Biology,NA,5/14/2016,Doctorate,College of Forestry & Conserv,Female,White/Caucasian,22-Dec,5/1/2023,submitted,Working,University of Montana,Higher Education,Temporary/Contract Work Assignment,Full-Time,Research,Post Doctoral Researcher,NA,NA,NA,NA,NA,NA,60000,Annual Salary,0,0,This position meets my expectations,Work with a faculty member on a research project,Yes,Work with a faculty member on a research project,3,4,1,1,1
4493037,Resource Conservation,NA,5/10/2024,Bachelors,College of Forestry & Conserv,Female,NA,22-Dec,12/1/2022,submitted,Working,Little Grizzly Ranch,Agriculture,Temporary/Contract Work Assignment,Part-Time,Maintenance/Skilled Laborer,Horse handler,NA,NA,NA,NA,NA,NA,41600,Hourly Wage,NA,NA,No opinion,"Internship, field experience, student teaching or clinical placement",Somewhat,"Internship, field experience, student teaching, practicum or clinical placement",2,3,1,3,1
4493056,International Business,Management Information Systems,12/13/2022,Bachelors,College of Business,Female,White/Caucasian,22-Dec,NA,submitted,Working,Other,NA,Organization,Full-Time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493057,Public Health,Public Administration,5/17/2014,Masters,College of Health,Male,White/Caucasian,22-Dec,12/1/2022,submitted,Working,Self,Research,Temporary/Contract Work Assignment,Part-Time,Consulting,Consultant,Yes,NA,NA,NA,NA,NA,NA,Hourly Wage,NA,NA,No opinion,None of the above,NA,NA,2,NA,NA,0,0
4493059,Fish and Wildlife Biology,NA,5/12/2018,Doctorate,College of Forestry & Conserv,Female,White/Caucasian,22-Dec,5/1/2023,submitted,Working,USDA Forest Service,Research,Organization,Full-Time,Research,Science Delivery Specialist,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,This position exceeds my expectations,Work with a faculty member on a research project,Yes,Work with a faculty member on a research project,3,4,1,1,1
4493064,"Parks, Tourism &Rec Management",NA,5/10/2024,Bachelors,College of Forestry & Conserv,Female,White/Caucasian,22-Dec,12/1/2022,submitted,Working,Montana Snowbowl,Summer Camps/Outdoor Recreation,Organization,Full-Time,Recreation/Fitness,Director of Snowsports,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,This position meets my expectations,"Internship, field experience, student teaching or clinical placement, Community-based project (service learning or volunteer), Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Somewhat,Work with a faculty member on a research project,3,3,1,6,1
4493068,History,NA,5/1/2029,Doctorate,College Humanities & Sciences,Male,White/Caucasian,22-Dec,12/1/2022,submitted,Still Looking,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Employment,NA,NA,NA,NA,NA,This position significantly fails to meet my expectations,"Internship, field experience, student teaching or clinical placement, Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",No,"Internship, field experience, student teaching, practicum or clinical placement, Work with a faculty member on a research project",1,1,0,5,1
4493071,Systems Ecology,NA,5/1/2028,Doctorate,College of Forestry & Conserv,Female,White/Caucasian,22-Dec,12/1/2022,submitted,Working,University of Colorado Boulder,Higher Education,Organization,Full-Time,Research,Postdoctoral Researcher,NA,NA,NA,NA,NA,NA,58000,Annual Salary,NA,NA,This position meets my expectations,Work with a faculty member on a research project,Yes,Work with a faculty member on a research project,3,4,1,1,1
4493072,Wildlife Biology,Native American Studies,5/12/2023,Bachelors,College of Forestry & Conserv,Female,White/Caucasian,22-Dec,12/1/2022,submitted,Still Looking,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Employment,NA,NA,NA,NA,NA,No opinion,"Internship, field experience, student teaching or clinical placement, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",No,None of the experiential learning activities I participated in at UM were helpful.,2,1,0,4,1
4493091,Fish and Wildlife Biology,NA,7/28/2017,Doctorate,College of Forestry & Conserv,Male,White/Caucasian,22-Dec,12/1/2022,submitted,Working,US Army,Defense,Organization,Full-Time,Lab Work/Science,Microbiologist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,This position meets my expectations,"Internship, field experience, student teaching or clinical placement, Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Somewhat,"Internship, field experience, student teaching, practicum or clinical placement, Work with a faculty member on a research project",3,3,1,5,1
4493099,Management Information Systems,NA,5/10/2024,Bachelors,College of Business,Female,White/Caucasian,22-Dec,NA,submitted,Working,Other,NA,Organization,Full-Time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493100,Management Information Systems,"Cybersecurity, Finance",5/12/2023,Bachelors,College of Business,Female,White/Caucasian,22-Dec,12/1/2023,submitted,Working,Bridge Partners,Management Consulting,Organization,Part-Time,Product / Project Management,IT Consultant Intern,Yes,NA,NA,NA,NA,NA,NA,Hourly Wage,NA,NA,This position meets my expectations,"Internship, field experience, student teaching or clinical placement, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc), First year course taken during freshman year on college success skills (goal-setting, study skills, campus resources, etc)",Yes,"Internship, field experience, student teaching, practicum or clinical placement, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc), First year course taken during freshman year on college success skills (goal-setting, study skills, campus resources, etc)",3,4,1,5,1
4493104,Public Health Administration,NA,12/14/2012,Associates,College of Health,Female,White/Caucasian,22-Dec,12/1/2022,submitted,Working,Missoula City County Health Department,"Government - Local, State & Federal",Organization,Full-Time,Healthcare Services,Public Health Nurse,Yes,NA,NA,NA,NA,NA,60000,Annual Salary,NA,NA,This position meets my expectations,None of the above,NA,NA,3,NA,NA,0,0
4493105,Public Health~Public Administration,Public Health,5/14/2016,Masters,College of Health,Female,White/Caucasian,22-Dec,12/1/2022,submitted,Working,JG Research & Evaluation,Research,Organization,Full-Time,Research,Program and Operations Manager,Yes,NA,NA,NA,NA,NA,62500,Annual Salary,NA,NA,This position exceeds my expectations,"Internship, field experience, student teaching or clinical placement, Community-based project (service learning or volunteer)",Somewhat,"Internship, field experience, student teaching, practicum or clinical placement",3,3,1,4,1
4493109,Biology,NA,5/13/2022,Bachelors,College Humanities & Sciences,Male,Asian/Asian American,22-Dec,1/1/2023,submitted,Still Looking,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Employment,NA,NA,NA,NA,NA,This position fails to meet my expectations,None of the above,NA,NA,1,NA,NA,0,0
4493119,Business Administration,NA,11/25/2020,Masters,College of Business,Male,NA,22-Dec,NA,submitted,Working,Not provided,NA,Organization,Full-Time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493122,Psychology,NA,5/12/2023,Bachelors,College Humanities & Sciences,Female,White/Caucasian,22-Dec,12/1/2022,submitted,Still Looking,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Employment,NA,NA,NA,NA,NA,No opinion,None of the above,NA,NA,2,NA,NA,0,0
4493125,Business Administration,NA,5/15/2010,Bachelors,College of Business,Female,White/Caucasian,22-Dec,12/1/2022,submitted,Working,Montana Rail Link,Transportation & Logistics,Organization,Full-Time,Accounting,Manager Project Accounting,Yes,NA,NA,NA,NA,NA,75000,Annual Salary,NA,NA,This position meets my expectations,None of the above,NA,NA,3,NA,NA,0,0
4493135,Health & Human Performance,NA,5/10/2024,Bachelors,College of Health,Male,White/Caucasian,22-Dec,12/1/2022,submitted,Working,Bitterroot Health,Healthcare,Organization,Full-Time,Customer/Technical Support,PAS,NA,NA,NA,NA,NA,NA,31200,Hourly Wage,500,NA,No opinion,Work with a faculty member on a research project,Neutral,"Internship, field experience, student teaching, practicum or clinical placement",2,2,0,1,1
4493139,Registered Nursing,Registered Nursing,5/1/2025,Associates,Missoula College,Female,White/Caucasian,22-Dec,12/1/2022,submitted,Working,Renown Health,Healthcare,Organization,Full-Time,Healthcare Services,RN,NA,NA,NA,NA,NA,NA,71760,Hourly Wage,1500,NA,This position exceeds my expectations,None of the above,NA,NA,3,NA,NA,0,0
4493145,Psychology,Business Administration,5/10/2024,Bachelors,College Humanities & Sciences,Female,NA,22-Dec,12/1/2022,submitted,Working,The Depot,Restaurants & Food Service,Organization,Full-Time,Accounting,Bookkeeper,Yes,NA,NA,NA,NA,NA,33280,Hourly Wage,500,NA,This position meets my expectations,None of the above,NA,NA,3,NA,NA,0,0
4493146,Accounting~Finance,Accounting,5/12/2023,Bachelors,College of Business,Male,Two or More Races,22-Dec,NA,submitted,Still Looking,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Employment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
