id,recipient_primary_major,recipient_secondary_majors,recipient_graduation_date,recipient_education_level,recipient_primary_college,recipient_gender,recipient_ethnicity,recipient_graduation_group_name,response_graduation_date,response_status,outcome,employer_name,employer_industry,employment_category,employment_type,job_function,job_position,employed_during_education,continuing_education_school,continuing_education_level,continuing_education_major,still_looking_option,not_seeking_option,annual_salary,pay_schedule,bonus_amount,other_compensation,job_alignment,el_participation,el_helpfulness,el_most_helpful
4361739,Psychology~Pre-Medical Sciences,Psychology,5/13/2022,Bachelors,College Humanities & Sciences,Female,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361740,No Major,,5/13/2022,Bachelors,Continuing Education,Female,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361741,History~Global Leadership,General AA,12/17/2021,Associates,College Humanities & Sciences,Female,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361742,Psychology,,12/14/2018,Masters,College Humanities & Sciences,Male,,22-Aug,7/1/2022,submitted,Continuing Education,,,,,,,,George E. Wahlen Veterans Affairs Salt Lake City Health Care System,Postdoctoral Studies,Clinical Psychology,,,,,,,This position meets my expectations,"Internship, field experience, student teaching or clinical placement, Learning community or other formal program in which one group of students takes two or more classes together, Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Yes,"Internship, field experience, student teaching, practicum or clinical placement"
4361743,Accounting,,7/30/2021,Bachelors,College of Business,Female,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361744,Accounting,,5/8/2020,Bachelors,College of Business,Male,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361745,Anthropology,,5/13/2022,Bachelors,College Humanities & Sciences,Female,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361746,Psychology,,8/16/2019,Masters,College Humanities & Sciences,Female,Native American/Alaskan Native,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361747,Psychology,,5/12/2023,Bachelors,College Humanities & Sciences,Female,Latino(a),22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361748,Psychology,,5/7/2021,Bachelors,College Humanities & Sciences,Female,Native Hawaiian/Pacific Islander,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361749,Public Health,,8/14/2020,Bachelors,College of Health,Female,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361750,Management Information Systems,,5/12/2023,Bachelors,College of Business,Male,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361751,Biology~Pre-Medical Sciences,Biology,5/13/2022,Bachelors,College Humanities & Sciences,Male,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361752,Fine Arts,English,5/14/2016,Bachelors,College of the Arts and Media,Female,White/Caucasian,22-Aug,,submitted,Continuing Education,,,,,,,,MONTANA STATE UNIVERSITY - NORTHERN,,,,,,,,,,,,
4361753,Public Health,,5/1/2026,Masters,College of Health,Female,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361754,Computer Science,,5/12/2012,Bachelors,College Humanities & Sciences,Male,,22-Aug,,submitted,Continuing Education,,,,,,,,METROPOLITAN STATE UNIVERSITY OF DENVER,,,,,,,,,,,,
4361755,Fine Arts,Theatre,7/29/2016,Bachelors,College of the Arts and Media,Male,White/Caucasian,22-Aug,,submitted,Continuing Education,,,,,,,,MONTANA STATE UNIVERSITY-BILLINGS,,,,,,,,,,,,
4361756,Psychology~Forensic Studies,Psychology,5/12/2023,Bachelors,College Humanities & Sciences,Female,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361757,tDPT Bachelors~Rehabilitation Administration,tDPT Bachelors,5/1/2028,,College of Health,Female,Asian/Asian American,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361758,tDPT Bachelors,,5/1/2028,Doctorate,College of Health,Female,Asian/Asian American,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361759,Public Administration,Wildlife Biology,4/30/2021,Bachelors,College of Forestry & Conserv,Male,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361760,tDPT Masters,,5/1/2028,Doctorate,College of Health,Male,,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361761,Curriculum & Instruction,,5/1/2028,,College of Education,Female,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361762,Fine Arts~Secondary Certification,Fine Arts,5/1/2025,Masters,College of the Arts and Media,Female,White/Caucasian,22-Aug,,submitted,Continuing Education,,,,,,,,HELENA COLLEGE UNIVERSITY OF MONTANA,,,,,,,,,,,,
4361763,Accounting~Accounting Information Systems,Accounting Information Systems,4/30/2021,Certificate,College of Business,Male,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361764,Anthropology,,5/3/2019,Masters,College Humanities & Sciences,Female,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361765,Psychology,,12/13/2019,Masters,College Humanities & Sciences,Female,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361766,Public Administration,Health & Human Performance,5/12/2018,Bachelors,School of Law,Female,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361767,Accounting,,4/30/2021,Bachelors,College of Business,Female,White/Caucasian,22-Aug,7/1/2022,submitted,Working,"PayScale, Inc.",Other Industries,Organization,Full-Time,Accounting,Staff Accountant,,,,,,,70000,Annual Salary,,,This position exceeds my expectations,"Internship, field experience, student teaching or clinical placement",Somewhat,"Internship, field experience, student teaching, practicum or clinical placement"
4361768,Management Information Systems~Cybersecurity Management,Management Information Systems,5/12/2023,,College of Business,Male,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361769,Psychology,,7/27/2018,Masters,College Humanities & Sciences,Female,White/Caucasian,22-Aug,,submitted,Working,Other,,Organization,Full-Time,,,,,,,,,,,,,,,,
4361770,Teaching School Mathematics,Mathematics,5/16/2015,Bachelors,College Humanities & Sciences,Male,,22-Aug,8/1/2022,submitted,Working,Missoula County Public Schools,K-12 Education,Faculty Non-Tenure,Full-Time,Education / Teaching / Training,Teacher,Yes,,,,,,30000,Annual Salary,0,0,This position meets my expectations,None of the above,,
4361771,Education,,5/1/2025,Masters,College of Education,Female,White/Caucasian,22-Aug,,submitted,Continuing Education,,,,,,,,MORAVIAN UNIVERSITY,,,,,,,,,,,,
4361772,Psychology,Medical Assisting,5/8/2020,Associates,College Humanities & Sciences,Female,White/Caucasian,22-Aug,,submitted,Continuing Education,,,,,,,,CUNY GRAD SCHOOL - SCHOOL OF PUBLIC HEALTH,,,,,,,,,,,,
4361773,Philosophy~Political Science~Pre-Law,Philosophy,5/12/2023,Bachelors,College Humanities & Sciences,Female,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361774,Native American Studies,,5/16/2015,Bachelors,Graduate School,Female,Native American/Alaskan Native,22-Aug,,submitted,Continuing Education,,,,,,,,NEW MEXICO STATE UNIVERSITY-MAIN,,,,,,,,,,,,
4361775,Speech Lang Path/Aud Asst,Education,12/20/2016,Bachelors,College of Health,Female,White/Caucasian,22-Aug,,submitted,Continuing Education,,,,,,,,NORTH CENTRAL COLLEGE,,,,,,,,,,,,
4361776,Education Leadership,Education,5/17/2014,Bachelors,College of Education,Male,White/Caucasian,22-Aug,,submitted,Continuing Education,,,,,,,,NORTHERN ARIZONA UNIVERSITY,,,,,,,,,,,,
4361777,Psychology~Forensic Studies,Psychology,5/12/2023,Bachelors,College Humanities & Sciences,Female,Native American/Alaskan Native,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361778,Fine Arts,,12/17/2004,Bachelors,College of the Arts and Media,Female,White/Caucasian,22-Aug,,submitted,Continuing Education,,,,,,,,NORTHWESTERN UNIVERSITY,,,,,,,,,,,,
4361779,Sociology,General AA,11/25/2020,Associates,College Humanities & Sciences,Female,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361780,Speech Lang Path/Aud Asst,Anthropology,11/25/2020,Bachelors,College of Health,Female,White/Caucasian,22-Aug,8/1/2022,submitted,Still Looking,,,,,,,,,,,Employment,,,,,,This position significantly fails to meet my expectations,None of the above,,
4361781,Speech Lang Path/Aud Asst,Social Work,4/30/2021,Bachelors,College of Health,Female,White/Caucasian,22-Aug,,submitted,Continuing Education,,,,,,,,OREGON STATE UNIVERSITY,,,,,,,,,,,,
4361782,Accounting,Accounting Information Systems,11/25/2020,Certificate,College of Business,Female,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361783,Counselor Education,Art,5/16/2015,Bachelors,College of Education,Female,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361784,Accounting,,4/30/2021,Bachelors,College of Business,Female,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361785,Speech Language Pathology,,5/1/2026,,College of Health,Female,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361786,Accounting,,5/1/2026,Masters,College of Business,Female,,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361787,Health & Human Performance,Public Health,5/5/2023,Bachelors,College of Health,Female,White/Caucasian,22-Aug,8/1/2022,submitted,Continuing Education,,,,,,,,University of Providence,Bachelors,Nursing Accelerated BSN,,,,,,,No opinion,"Internship, field experience, student teaching or clinical placement",Neutral,None of the experiential learning activities I participated in at UM were helpful.
4361788,Commun Sci & Disorders,,5/1/2025,Associates,College of Health,Female,Native American/Alaskan Native,22-Aug,,submitted,Continuing Education,,,,,,,,MONTANA STATE UNIVERSITY - BOZEMAN,,,,,,,,,,,,
4361789,Management Information Systems~Cybersecurity Management,Management Information Systems,5/13/2022,Bachelors,College of Business,Male,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361790,Accounting,,4/30/2021,Bachelors,College of Business,Female,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361791,Computer Science,Physics,8/3/2022,Bachelors,College Humanities & Sciences,Female,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361792,Marketing~Entertainment Management,Entertainment Management,5/13/2022,Certificate,College of Business,Female,Native American/Alaskan Native,22-Aug,7/1/2022,submitted,Still Looking,,,,,,,,,,,Employment,,,,,,No opinion,"Internship, field experience, student teaching or clinical placement, Community-based project (service learning or volunteer), Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Somewhat,"Internship, field experience, student teaching, practicum or clinical placement"
4361793,Public Administration,Political Science,8/16/2019,Bachelors,School of Law,Female,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361794,Accounting,,12/17/2021,Bachelors,College of Business,Female,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361795,Public Administration,,5/1/2026,Masters,School of Law,Female,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361796,Psychology,,5/12/2023,Bachelors,College Humanities & Sciences,Female,Native American/Alaskan Native,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361797,Commun Sci & Disorders,Environmental Studies,12/12/2014,Bachelors,College of Health,Female,White/Caucasian,22-Aug,,submitted,Continuing Education,,,,,,,,PENINSULA COLLEGE,,,,,,,,,,,,
4361798,Education Leadership,,12/22/1995,Bachelors,College of Education,Female,White/Caucasian,22-Aug,7/1/2022,submitted,Working,Potomac School District 11,K-12 Education,Organization,Full-Time,Education / Teaching / Training,"Teacher, Instructional Coach",Yes,,,,,,55000,Annual Salary,0,0,This position meets my expectations,None of the above,,
4361799,Accounting,,5/13/2022,Bachelors,College of Business,Male,,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361801,Communication Studies,,5/13/2022,Bachelors,College Humanities & Sciences,Female,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361802,Accounting,,4/30/2021,Bachelors,College of Business,Male,Latino(a),22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361803,Public Administration,Political Science,5/3/2019,Bachelors,School of Law,Male,White/Caucasian,22-Aug,,submitted,Continuing Education,,,,,,,,PURDUE UNIVERSITY - WEST LAFAYETTE,,,,,,,,,,,,
4361804,Geosciences,Computer Aided Design,5/12/2018,Certificate,College Humanities & Sciences,Male,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361805,Cybersecurity Management,,5/13/2022,Certificate,College of Business,Male,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361806,Resource Conservation,"Parks, Tourism &Rec Management",5/8/2020,Bachelors,College of Forestry & Conserv,Male,White/Caucasian,22-Aug,8/1/2022,submitted,Working,"Montana Fish, Wildlife and Parks",Animal & Wildlife,Organization,Full-Time,Quality Assurance,AIS Roving Site Lead,,,,,,,33280,Hourly Wage,0,0,No opinion,"Internship, field experience, student teaching or clinical placement, Community-based project (service learning or volunteer), Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Yes,"Internship, field experience, student teaching, practicum or clinical placement, Community-based project (service learning or volunteerism), Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)"
4361807,Pharm Sci and Drug Design,Pharmacy,5/13/2022,Doctorate,College of Health,Female,White/Caucasian,22-Aug,,submitted,Continuing Education,,,,,,,,ROGUE COMMUNITY COLLEGE,,,,,,,,,,,,
4361808,Counselor Education,,12/18/2010,Bachelors,College of Education,Male,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361809,Psychology,,12/13/2019,Masters,College Humanities & Sciences,Female,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361810,Finance,,5/13/2022,,College of Business,Male,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361811,Management Information Systems,Information Technology,5/12/2018,Associates,College of Business,Male,,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361812,Social Work,,5/1/2025,Bachelors,College of Health,Female,Latino(a),22-Aug,,submitted,Continuing Education,,,,,,,,SANTA ROSA JUNIOR COLLEGE,,,,,,,,,,,,
4361813,Curriculum & Instruction~Elementary Certification,Curriculum & Instruction,5/1/2026,Masters,College of Education,Male,,22-Aug,,submitted,Continuing Education,,,,,,,,SOUTHERN NEW HAMPSHIRE- 09WEEK,,,,,,,,,,,,
4361814,Marketing~Digital Marketing,Marketing,5/13/2022,Bachelors,College of Business,Female,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361815,History,,5/12/2023,Bachelors,College Humanities & Sciences,Female,Latino(a),22-Aug,,submitted,Continuing Education,,,,,,,,Unknown,,,,,,,,,,,,
4361816,Computer Science,,5/13/2022,Bachelors,College Humanities & Sciences,Male,White/Caucasian,22-Aug,,submitted,Working,Other,,Organization,Full-Time,,,,,,,,,,,,,,,,
4361817,Psychology,,5/3/2019,Bachelors,College Humanities & Sciences,Male,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361818,Sociology,General AA,5/13/2022,Associates,College Humanities & Sciences,Male,White/Caucasian,22-Aug,8/1/2022,submitted,Continuing Education,,,,,,,,Western Governors University - WGU,Masters,Masters in Teaching,,,,,,,This position meets my expectations,None of the above,,
4361819,Management Information Systems,General AA,11/25/2020,Associates,College of Business,Male,Black or African American,22-Aug,,submitted,Continuing Education,,,,,,,,TENNESSEE TECHNOLOGICAL UNIVERSITY,,,,,,,,,,,,
4361820,Biology,,5/13/2022,Associates,College Humanities & Sciences,Male,White/Caucasian,22-Aug,,submitted,Continuing Education,,,,,,,,TOURO UNIVERSITY,,,,,,,,,,,,
4361821,Accounting,,4/30/2021,Bachelors,College of Business,Female,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361822,Health & Human Performance~Pre-Prof-Phys Therapy,Health & Human Performance,5/13/2022,Bachelors,College of Health,Female,White/Caucasian,22-Aug,,submitted,Continuing Education,,,,,,,,Unknown,,,,,,,,,,,,
4361823,Health & Human Performance~Pre-Prof-Phys Therapy,Health & Human Performance,5/13/2022,Associates,College of Health,Female,White/Caucasian,22-Aug,8/1/2022,submitted,Still Looking,,,,,,,,,,,Continuing Education,,,,,,No opinion,"Internship, field experience, student teaching or clinical placement, Community-based project (service learning or volunteer), Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Yes,"Internship, field experience, student teaching, practicum or clinical placement, Community-based project (service learning or volunteerism), Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)"
4361824,Speech Language Pathology,Commun Sci & Disorders,12/13/2019,Bachelors,College of Health,Female,Latino(a),22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361825,Health & Human Performance,,5/12/2023,Bachelors,College of Health,Male,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361826,Public Administration,,11/25/2020,Bachelors,School of Law,Female,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361827,No Major,,5/12/2023,Bachelors,Continuing Education,Female,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361828,tDPT Bachelors,,5/1/2028,,College of Health,Female,Asian/Asian American,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361829,Management Information Systems,,5/12/2023,,College of Business,Male,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361830,Health & Human Performance,,8/1/2022,Bachelors,College of Health,Female,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361831,"Women's, Gender & Sexuality St",,5/12/2023,Bachelors,College Humanities & Sciences,Female,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361832,Computer Science,,5/12/2023,Bachelors,College Humanities & Sciences,Male,White/Caucasian,22-Aug,,submitted,Working,Other,,Organization,Full-Time,,,,,,,,,,,,,,,,
4361833,Health & Human Performance,,5/12/2023,Bachelors,College of Health,Female,Latino(a),22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361834,Media Arts,General AA,4/30/2021,Associates,College of the Arts and Media,Male,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361835,Communication Studies,General AA,5/13/2022,Associates,College Humanities & Sciences,Female,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361836,Accounting,,4/30/2021,Bachelors,College of Business,Female,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361837,Wildlife Biology,,5/13/2022,Bachelors,College of Forestry & Conserv,Male,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361838,Enviro Sci and Sustainability,,5/12/2023,Bachelors,College of Forestry & Conserv,Female,White/Caucasian,22-Aug,,submitted,Working,Other,,Organization,Full-Time,,,,,,,,,,,,,,,,
4361839,Sociology,,5/12/2023,Bachelors,College Humanities & Sciences,Male,White/Caucasian,22-Aug,,submitted,Continuing Education,,,,,,,,TRIDENT TECHNICAL COLLEGE,,,,,,,,,,,,
4361840,Psychology~Forensic Studies,Psychology,5/12/2023,Bachelors,College Humanities & Sciences,Female,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361841,Health & Human Performance~Psychology,Health & Human Performance,5/13/2022,Bachelors,College of Health,Female,,22-Aug,,submitted,Continuing Education,,,,,,,,UNIV OF ST. AUGUSTINE HLTH SCIENCES- DALLAS TEXAS,,,,,,,,,,,,
4361842,Anthropology,,5/13/2022,Bachelors,College Humanities & Sciences,Male,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361843,Psychology,,5/1/2028,Doctorate,College Humanities & Sciences,Female,Native American/Alaskan Native,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361844,Information Technology~Computer Support,Computer Support,5/13/2022,Certificate,Missoula College,Male,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361845,tDPT Bachelors,,5/1/2028,Doctorate,College of Health,Female,Asian/Asian American,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361846,tDPT Bachelors,,5/1/2027,Doctorate,College of Health,Female,Asian/Asian American,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361847,Business Administration,,5/12/2023,Masters,College of Business,Male,Latino(a),22-Aug,,submitted,Continuing Education,,,,,,,,UNIVERSITY OF ALASKA - FAIRBANKS,,,,,,,,,,,,
4361848,General AS,,5/1/2025,Bachelors,Missoula College,Female,White/Caucasian,22-Aug,,submitted,Continuing Education,,,,,,,,UNIVERSITY OF MONTANA,,,,,,,,,,,,
4361849,Psychology,,5/1/2028,Doctorate,College Humanities & Sciences,Female,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361850,Biology,,5/13/2022,Bachelors,College Humanities & Sciences,Female,,22-Aug,,submitted,Continuing Education,,,,,,,,UNIVERSITY OF ALASKA ANCHORAGE,,,,,,,,,,,,
4361851,Commun Sci & Disorders,,5/13/2022,Bachelors,College of Health,Female,White/Caucasian,22-Aug,,submitted,Continuing Education,,,,,,,,UNIVERSITY OF CALIFORNIA - BERKELEY,,,,,,,,,,,,
4361852,Pre-Radiologic Technology,,5/1/2025,Bachelors,Missoula College,Female,White/Caucasian,22-Aug,,submitted,Continuing Education,,,,,,,,UNIVERSITY OF CALIFORNIA - RIVERSIDE,,,,,,,,,,,,
4361853,Geosciences,,8/12/2022,Bachelors,College Humanities & Sciences,Female,White/Caucasian,22-Aug,,submitted,Continuing Education,,,,,,,,UNIVERSITY OF CALIFORNIA-LOS ANGELES,,,,,,,,,,,,
4361854,Education Leadership,,5/1/2026,Bachelors,College of Education,Female,White/Caucasian,22-Aug,,submitted,Continuing Education,,,,,,,,UNIVERSITY OF COLORADO BOULDER,,,,,,,,,,,,
4361855,Curriculum & Instruction,,5/1/2026,Bachelors,College of Education,Female,White/Caucasian,22-Aug,,submitted,Continuing Education,,,,,,,,UNIVERSITY OF FLORIDA,,,,,,,,,,,,
4361856,Sociology,,5/12/2023,,College Humanities & Sciences,Female,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361857,Public Health~Pre-Nursing,Public Health,5/12/2023,Masters,College of Health,Female,White/Caucasian,22-Aug,7/1/2022,submitted,Continuing Education,,,,,,,,University of Montanaâ€š Missoula,Masters,Public Health,,,,,,,This position meets my expectations,"Internship, field experience, student teaching or clinical placement, Community-based project (service learning or volunteer), Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc), First year course taken during freshman year on college success skills (goal-setting, study skills, campus resources, etc)",Yes,"Internship, field experience, student teaching, practicum or clinical placement, Community-based project (service learning or volunteerism), First year course taken during freshman year on college success skills (goal-setting, study skills, campus resources, etc)"
4361858,Marketing,,5/12/2023,,College of Business,Female,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361859,Health & Human Performance~Global Leadership,Health & Human Performance,5/13/2022,,College of Health,Female,,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361860,General AA,,5/1/2025,Bachelors,Missoula College,Female,,22-Aug,,submitted,Continuing Education,,,,,,,,UNIVERSITY OF MONTANA,,,,,,,,,,,,
4361861,Accounting,,4/30/2021,Bachelors,College of Business,Female,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361862,Sociology,General AA,4/30/2021,Associates,College Humanities & Sciences,Male,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361863,Economics,,5/1/2024,Bachelors,College Humanities & Sciences,Male,White/Caucasian,22-Aug,,submitted,Continuing Education,,,,,,,,UNIVERSITY OF HAWAII AT MANOA,,,,,,,,,,,,
4361864,General AS,,5/1/2025,Bachelors,Missoula College,Female,,22-Aug,,submitted,Continuing Education,,,,,,,,Unknown,,,,,,,,,,,,
4361865,Communication Studies,,5/1/2024,Bachelors,College Humanities & Sciences,Male,Black or African American,22-Aug,,submitted,Continuing Education,,,,,,,,IDAHO STATE UNIVERSITY,,,,,,,,,,,,
4361866,Public Administration,,5/1/2026,,School of Law,Female,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361867,Psychology,,5/1/2024,,College Humanities & Sciences,Female,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
